authors,title,author1,author2,organization,year,journal,keyFindings,metaDescription,onePageSummary,link,pillar,subpillar,solution,subcategory,file
D. Sheil,How Plants Water Our Planet: Advances and Imperatives,"Sheil, Douglas ",,"Department of Ecology and Natural Resource Management, Norwegian University of Life Sciences",2014,Trends in Plant Science,"This study highlights that vegetation, especially tree cover, plays a significant role in influencing rain and rainfall patterns, much more than previously understood. Recent research shows a strong link between land-based ecosystems and rainfall, suggesting that vegetation sciences will become increasingly important for understanding climate dynamics and the effects of land cover changes on climate vulnerability.",Vegetation science is key to understanding climate and its vulnerability to land cover changes and how it affects rainfall patterns (D. Sheil).,,"https://www.cell.com/trends/plant-science/fulltext/S1360-1385(14)00003-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS136013851400003X%3Fshowall%3Dtrue
",,,,,
Shen et al.,"Countries’ differentiated responsibilities to fulfill area-based
conservation targets of the Kunming-Montreal Global Biodiversity Framework","Shen, Xiaoli ","Liu, Mingzhang ","Institute of Botany, Chinese Academy of Sciences",2023,ScienceDirect,"This study examines the effectiveness of global conservation policies using area-based targets, such as the 30% target set in the Kunming-Montreal Global Biodiversity Framework. The research shows that globally coordinated action is more efficient for biodiversity and carbon conservation than individual national efforts. However, significant challenges exist due to unequal conservation burdens across countries and the need to protect landscapes also used for human activities. The study calls for coordinated international action, supported by strong funding, to ensure the 30% target is achieved equitably by 2030.",Global action is better for biodiversity and carbon conservation than national efforts. Reaching the 30% target by 2030 needs cooperation and funding (Shen et al).,,https://www.sciencedirect.com/science/article/pii/S2590332223001550,,,,,
Silver et al.,Carbon Sequestration and Greenhouse Gas Mitigation Potential of Composting and Soil Amendments on California's Rangelands,"Silver, Whendee L. ","Vergara, Sintana E. ",UC Berkeley,2018,California Natural Resources Agency,"This research evaluated the potential of compost amendments to sequester carbon in rangeland soil and reduce greenhouse gas emissions. Composting increased soil carbon by 2.1 Mt C ha-1 over one growing season in 15 rangelands. Long-term climate benefits peaked 15 years after application but decreased under high-emissions scenarios. Greenhouse gas emissions from composting were measured, showing that methane emissions were sensitive to pile management, while nitrous oxide emissions were negligible. Composting provided greater CO2 savings compared to other waste management methods, highlighting its potential to mitigate climate change and improve ecosystem sustainability.","Composting boosts carbon storage in rangeland soils, peaking 15 years post-application. It also cuts CO2 more than other waste methods (Silver et al).",,https://www.energy.ca.gov/sites/default/files/2019-11/Agriculture_CCCA4-CNRA-2018-002_ADA.pdf,,,,,
Silvestro et al.,Improving biodiversity protection through artificial intelligence,"Silvestro, Daniele ","Goria, Stefano ","Department of Biology, University of Fribourg",2022,Nature Sustainability,"Over a million species face extinction, stressing the need for effective conservation strategies. This study introduces a new framework, CAPTAIN (Conservation Area Prioritization through Artificial Intelligence), which outperforms current methods by optimizing biodiversity protection using reinforcement learning. CAPTAIN considers costs, benefits, and multiple biodiversity metrics, protecting more species under limited budgets than traditional methods. It generates more reliable conservation maps and improves biodiversity outcomes, even with imperfect data from citizen science surveys. AI offers significant potential for enhancing conservation efforts in a rapidly changing, resource-limited world.","Using AI, the software CAPTAIN better optimizes biodiversity protection than current methods, safeguarding more species with limited resources (Silvestro et al).",,https://www.nature.com/articles/s41893-022-00851-6,,,,,
Akhatar et al.,Sink or swim: How Indigenous and community lands can make or break nationally determined contributions,"Akhtar, Shazabe","Conway, Daragh",Forest Declaration Assessment,2022,Forest Declaration Assessment,"This report highlights the critical role Indigenous peoples and local communities (IPLCs) play in reducing carbon emissions and protecting carbon sinks, particularly in forested regions of Brazil, Colombia, Peru, and Mexico. IPLC lands sequester twice as much carbon as non-IPLC areas and store 28% of global carbon. However, national climate plans (NDCs) often fail to recognize IPLC contributions, despite their significance for meeting climate goals. The report urges governments to legally recognize IPLC land rights, integrate IPLC knowledge into NDCs, and provide financial support to empower IPLCs in mitigating climate change.","Indigenous peoples and local communities help reduce emissions and store carbon, yet national climate plans and governments often ignore them (Akhtar et al).",,https://forestdeclaration.org/resources/sink-or-swim/,,,,,
de Siqueira et al.,Gender inclusion in ecological restoration,"de Siqueira, Ludmila P. ","Tedesco, Anazelia M. ",,2021,The Journal of the Society for Ecological Restoration,"Ecological restoration projects often focus on biological diversity but overlook human diversity, particularly gender issues. This study highlights the importance of considering gender equality in restoration efforts, proposing it as both a driver and measure of success. Integrating gender-responsive approaches is essential for advancing the UN's Sustainable Development Goals and the Decade on Ecosystem Restoration. The authors recommend that the International Principles and Standards for Ecological Restoration be updated to include a gender-responsive perspective.",Ecological restoration often overlooks gender equality. Integrating gender is a key factor that supports the UN's goals and ecosystem restoration efforts (de Siqueira et al).,,http://www.pactomataatlantica.org.br/wp-content/uploads/2021/08/Gender-inclusion-in-ecological-restoration_Siqueira-2021.pdf,,,,,
Skole et al.,Trees outside of forests as natural climate solutions,"Skole, David L. ","Mbow, Cheikh ","Global Observatory for Ecosystem Services, Department of Forestry, Michigan State University",2021,"Nature Climate
Change","Trees outside forests play a vital role as carbon sinks, contributing to climate mitigation and adaptation strategies. These trees also provide important ecosystem services and support livelihoods. Emerging monitoring tools emphasize their significance in enhancing carbon storage and environmental resilience, highlighting their overlooked value in global climate efforts.",Trees outside forests are vital carbon sinks supporting livelihoods. New tools show their key role in climate mitigation (Skole et al).,,https://www.nature.com/articles/s41558-021-01230-3,,,,,
Slusarewicz & Cohan,Assessing solar and wind complementarity in Texas,"Slusarewicz, Joanna ","Cohan, Daniel",Rice University,2018,Sustainable Energy Research,"The study explores how combining wind and solar energy, with differing output patterns, enhances grid reliability in Texas. Using advanced modeling and datasets, it analyzes half-hourly production based on resource location, size, and variability. Findings reveal complementary peaks between solar and wind resources annually and daily, with West and South Texas wind resources also complementing each other. Pairing West Texas wind with solar or South Texas wind provides the highest firm capacity. Solar excels in summer peak demand, while wind is optimal in winter. Integrating diverse renewable sources improves reliability in Texas's power grid.","Combining wind and solar energy with varied outputs boosts Texas grid reliability. Solar aids summer peaks, wind suits winter, and diverse sources excel (Slusarewicz & Cohan).",,https://jrenewables.springeropen.com/articles/10.1186/s40807-018-0054-3,,,,,
Wouterse & Ousmane,Fostering transformation and growth in Niger’s agricultural sector,"Wouterse, Fleur ","Badiane, Ousmane ",FAO,2018,Wageningen Academic Publishers,"The study focuses on sustainably transforming Niger's agriculture to boost incomes and reduce poverty. It highlights grassroots innovations and uses a value chain approach to enhance productivity, supporting services, and the business environment. Key themes include pro-poor initiatives, stronger smallholder market links, and fostering innovation for sustainable growth and resource preservation.","Niger's agriculture can grow with grassroots ideas, value chains, pro-poor steps, market ties, and plans for better output, incomes, and lasting growth (Wouterse & Ousmane).",,https://doi.org/10.3920/978-90-8686-873-5,,,,,
Smith et al.,Tropical deforestation causes large reductions in observed precipitation,"Smith, C.","Baker, J.C.A.","School of Earth and Environment, University of Leeds",2023,Nature,"Tropical forests are vital for the water cycle and influence rainfall patterns. A comprehensive analysis (2003–2017) shows deforestation reduces precipitation, with stronger effects at larger scales (e.g., a 1% forest loss reduces rainfall by 0.25 mm/month at 200 km). Sparse data causes disagreement in smaller-scale measurements, but projections suggest Congo deforestation could cut local rainfall by 8–10% by 2100. Conserving tropical forests is essential for climate resilience. ","Tropical forests drive rain patterns; deforestation cuts rain, strongest at 200 km (1% loss = 0.25 mm/month). Congo loss may cut rain by 8–10% by 2100 (Smith et al).",,https://www.nature.com/articles/s41586-022-05690-1,,,,,
Smith et al.,Impacts on terrestrial biodiversity of moving from a 2°C to a 1.5°C target,"Smith, Pete","Price, Jeff","Institute of Biological and Environmental Sciences, and ClimateXChange, University of Aberdeen",2018,Philosophical Transactions of the Royal Society A,"Limiting warming to 1.5°C rather than 2°C significantly reduces species losing 50% of their range and expands climatic refugia by 5.5–14%, matching global protected areas. Mitigation efforts for 1.5°C can align with biodiversity goals, though land-based greenhouse gas removal varies: soil carbon is beneficial, bioenergy poses conflicts, and afforestation is context-dependent. Proper management is key to minimizing risks and maximizing opportunities for biodiversity.","Limiting warming to 1.5°C cuts species range loss, adds 5.5–14% refugia, aids biodiversity, but land carbon removal impacts vary and need management (Smith et al).",,http://rsta.royalsocietypublishing.org/content/376/2119/20160456,,,,,
Smith et al.,Global test of ecoregions,"Smith, Jeffrey","Letten, Andrew",,2018,Nature Ecology Evolution,"Recent analysis using 200M observations of plants, animals, and fungi confirms ecoregions effectively delineate biodiversity patterns. The sharp-transition hypothesis, showing distinct species communities at ecoregion borders, is supported, with plants and vertebrates closely tied to these boundaries, while arthropods and fungi show weaker links. This underscores the critical role of ecoregions in conservation planning to protect biodiversity at species, community, and ecosystem levels, securing Earth’s life-support systems.","Data from 200M species records show ecoregions mark life. Plants and animals fit borders, fungi, and bugs less so. Ecoregions guide key protection (Smith et al).",,https://www.ncbi.nlm.nih.gov/pubmed/30397301,,,,,
Smith et al.,"Interlinkages between Desertification, Land Degradation, Food Security and GHG fluxes: synergies, trade-offs and Integrated Response Options","Smith, Pete","Nkem, Johnson ",,2019,IPCC,"This report highlights land challenges like climate change, desertification, degradation, and food security, emphasizing their interaction with biodiversity. It evaluates three response categories: land management, value chains, and risk management. Key findings include significant mitigation and adaptation potential from improved farming, forest management, and reduced food waste. Climate change worsens land pressures, with socioeconomic factors either mitigating or exacerbating issues. Some strategies, like soil carbon storage, offer co-benefits, while others, like bioenergy, have mixed impacts. Early, coordinated action across stakeholders is vital, balancing short-term barriers with long-term benefits for sustainable land and food systems.","Land challenges—climate change, desertification, food security—impact biodiversity. Key actions: better farming, forest care, waste cuts, and soil carbon (Smith et al).",,https://www.ipcc.ch/site/assets/uploads/2019/08/2h.-Chapter-6_FINAL.pdf,,,,,
Smucker et al.,Participatory Watershed Management Planning Methodology,"Smucker, Glenn","Timyan, Joel",,2017,Haitian Relief Organization,"As part of the World Bank’s PROFOR program, the J/P Haitian Relief Organization developed and tested a participatory methodology for community-led watershed management planning under the Haiti Takes Root initiative. The project produced a draft methodology, a finalized toolkit with detailed planning guides, and participatory watershed plans for two micro-watersheds in Nippes—Sault du Baril and Gwelan—both affected by Hurricane Matthew. These efforts aimed to create a replicable model for nationwide use, culminating in a public presentation of findings and tools to key stakeholders.","J/P HRO created and tested a community-led watershed planning method in Nippes, Haiti, producing tools and plans for national replication (Smucker et al).",,https://www.profor.info/sites/default/files/2024-05/ResilientHaitiFinalReportandMethodologyforParticipatoryWathershedPlanning.pdf,,,,,
Song et al.,Mangrove reforestation provides greater blue carbon benefit than afforestation for mitigating global climate change,"Song, Shanshan
","Li, Wei","Institute for Global Change Studies, Tsinghua University",2023,Nature Communications,"Mangrove reforestation surpasses afforestation in global blue carbon storage potential, with field data from 370+ sites revealing higher carbon accumulation in reforested areas. This is due to favorable intertidal zones, better nitrogen levels, and lower salinity. Reforesting feasible mangrove areas could sequester 671.5–688.8 TtCO2-eq in 40 years—60% more than afforestation. Prioritizing reforestation minimizes habitat conflicts and strengthens nature-based climate solutions.","Mangrove reforestation stores more carbon than afforestation due to better tidal zones, nitrogen, and salinity (Song et al).",,https://www.nature.com/articles/s41467-023-36477-1,,,,,
Song et al.,Annual Carbon Emissions from Deforestation in the Amazon Basin between 2000 and 2010,"Song, Xiao-Peng ","Huang, Chengquan ","Department of Geographical Sciences, University of Maryland",2015,PLOS One,"REDD+ is a cost-effective climate mitigation strategy, but deforestation rates in the Amazon (2000–2010) were poorly understood. Using satellite data (MODIS and Landsat), researchers quantified annual deforestation and emissions, estimating 1.59 ± 0.25 M ha•yr−1 deforestation and 0.18 ± 0.07 Pg C•yr−1 carbon emissions. Deforestation trends varied regionally, with increases in Bolivia, Colombia, and Peru, while Brazil's declined after 2004. Post-2005 deforestation shifted to higher-biomass areas, raising carbon density loss. These findings support REDD+ by refining baselines and tracking mitigation performance.","REDD+ is cost-effective for climate mitigation. Amazon deforestation (2000–2010) was 1.59M ha/yr, 0.18 Pg C/yr. Losses reached high-biomass areas post-2005 (Song et al).",,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0126754,,,,,
Soto-Navarro et al.,Mapping co-benefits for carbon storage and biodiversity to inform conservation policy and action,"Soto-Navarro, C.","Ravilious, C.",UN Environment Programme World Conservation Monitoring Centre,2020,Philosophical Transactions of the Royal Society B,"High-resolution maps integrating carbon stocks and biodiversity identify co-benefit hotspots for climate and biodiversity goals. Biodiversity is quantified with indices for proactive and reactive conservation, revealing hotspots with overlapping high carbon and biodiversity in the Amazon, Central Africa, and Southeast Asia. Unique biodiversity strongholds, like the Andes and Sundaland, are under-protected, with just 12–21% of these areas formally conserved. Urgent action is needed to restore degraded ecosystems and protect intact habitats, especially in Neotropics and Indomalaya, to meet global climate and biodiversity targets.",Maps of carbon and biodiversity show overlaps in hotspots like the Amazon and Southeast Asia. Only 12–21% are protected. Urgent action is needed globally (Soto-Navarro et al).,,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0128,,,,,
Sovacool et al.,Hidden costs of energy and mobility: A global meta-analysis and research synthesis of electricity and transport externalities,"Sovacool, Benjamin","Jinsoo, Kim",University of Sussex,2021,ScienceDirect,"This study synthesizes data from 139 global studies to quantify electricity supply, energy efficiency, and transportation, totaling $24.662T—28.7% of global GDP. Electricity's external costs average 7.15¢/kWh, surpassing revenues and production costs, while mobility averages 17.8¢/km across diverse modes. Energy efficiency, conversely, yields net positive externalities of $312B annually. Policymakers face a critical choice: allow markets to exploit externalities or adopt governance that internalizes these hidden costs for sustainability.","Data from 139 studies show energy and transport costs total $24.662T (28.7% GDP). Power costs 7.15¢/kWh, travel 17.8¢/km; efficiency adds $312B/year (Sovacool et al).",,https://doi.org/10.1016/j.erss.2020.101885,,,,,
Spawn et al.,Harmonized global maps of above and belowground biomass carbon density in the year 2010,"Spawn, Seth
","Sullivan, Clare","Department of Geography, University of Wisconsin-Madison",2020,Scientific Data,"This study addresses gaps in biomass carbon density maps by creating a global, high-resolution (300m) map integrating above- and below-ground carbon for all vegetation types. Using vegetation-specific maps, tree cover, and landcover data, estimates were harmonized to consistently represent diverse carbon stocks with quantified uncertainty. The map, covering 2010, supports comprehensive analyses and greenhouse gas inventories, improving decision-making and global carbon accounting.",A global 300m map integrates above/belowground carbon for all vegetation types. Harmonized 2010 data aids carbon accounting and greenhouse inventories (Spawn et al).,,https://www.nature.com/articles/s41597-020-0444-4,,,,,
Spiliopoulou et al.,Protected areas and the ranges of threatened species: Towards the EU Biodiversity Strategy 2030,"Spiliopoulou, Konstantina
","Brooks, Thomas",Institute of Marine Biological Resources and Inland Waters,2023,ScienceDirect,"Despite expanded protected areas, biodiversity continues to decline. The EU Biodiversity Strategy and Kunming-Montreal Framework aim for 30% land/sea coverage to reverse losses. Using IUCN Red List data, researchers found 49.6% of 2290 threatened species' ranges are protected in the EU. However, 71 Gap0.1 species (<0.1% coverage), mainly invertebrates on southern EU islands, remain vulnerable. Southern EU nations lead in threatened species coverage but near 30% protection alone isn't enough. Prioritizing biodiversity needs and Gap0.1 species in protected area expansion would better safeguard biodiversity and prevent extinctions.","Despite protected areas, biodiversity declines. The EU aims 30% land/sea cover. IUCN data shows 49.6% species covered, but Gap0.1 species risk extinction (Spiliopoulou et al).",,https://doi.org/10.1016/j.biocon.2023.110166,,,,,
Springmann et al.,Options for keeping the food system within environmental limits,"Springmann, Marco","Clark, Michael","Oxford Martin Programme on the Future of Food, University of Oxford",2018,Nature,"The food system significantly impacts climate, land use, water, and ecosystems. By 2050, its effects could rise 50–90% without changes, surpassing planetary boundaries. Solutions include shifting to plant-based diets, technological improvements, and reducing food waste, but no single approach suffices. A combined strategy is essential for sustainable mitigation.","The food system impacts climate, land use, water, and ecosystems. By 2050, impacts may rise 50–90%. Diet shifts, tech, and waste cuts can mitigate this (Springmann et al).",,https://www.nature.com/articles/s41586-018-0594-0,,,,,
Stanley et al.,Impacts of soil carbon sequestration on life cycle greenhouse gas emissions in Midwestern USA beef finishing systems,"Stanley, Paige","Rowntree, Jason","Department of Animal Science, Michigan State University",2018,ScienceDirect,"Beef cattle are a major source of greenhouse gas (GHG), with feedlot systems often deemed more efficient than grass-finished ones. This study compared feedlot (FL) systems with adaptive multi-paddock (AMP) grazing, which enhances soil organic carbon (SOC) sequestration. AMP systems reduced GHG emissions from 9.62 to −6.65 kg CO2-e/kg carcass weight, acting as a carbon sink, while FL systems showed minimal soil benefits. Despite AMP's greater land use, it offers significant climate mitigation potential, challenging assumptions favoring feedlot intensification as the sole path to lowering beef's GHG footprint.","Beef cattle emit greenhouse gas. Feedlots seem efficient, but AMP grazing boosts soil carbon, cutting GHGs from 9.62 to −6.65 kg CO2-e/kg (Stanley et al).",,https://doi.org/10.1016/j.agsy.2018.02.003,,,,,
Steffen et al.,Trajectories of the Earth System in the Anthropocene,"Steffen, Will","Rockstrom, Johan","Stockholm Resilience Centre, Stockholm University",2018,PNAS,"This research investigates feedback loops that could push the Earth System past a critical threshold, leading to irreversible ""Hothouse Earth"" warming despite reduced emissions. Crossing this threshold would cause unprecedented global temperatures, sea level rises, and severe ecosystem, societal, and economic disruptions. Avoiding this requires global action, including decarbonization, boosting carbon sinks, technological advances, governance reforms, and societal value shifts, to stabilize the Earth in a habitable state.","Feedback loops may push Earth past a threshold to ""Hothouse Earth,"" with rising heat, seas and harm. Decarbonization, sinks, and action can prevent this (Steffen et al).",,https://doi.org/10.1073/pnas.1810141115,,,,,
Stephenson et al.,Rate of tree carbon accumulation increases continuously with tree size,"Stephenson, N.L.","Das, A.J.",Western Ecological Research Center,2014,Nature,"Forests play a key role in the global carbon cycle, but understanding tree-level carbon productivity has been debated. Analyzing 403 species, this study shows that tree mass growth—and carbon fixation—increases with size, contrary to assumptions that large trees are merely carbon reservoirs. Larger trees contribute disproportionately to carbon storage, with some fixing as much carbon annually as an entire mid-sized tree. This growth paradox stems from increased leaf area offsetting reduced per-leaf productivity and lower stand density in older forests. These findings clarify tree growth patterns, enhancing forest carbon modeling and resource allocation theories.",Forests fuel the carbon cycle. A study of 403 species shows tree growth and carbon storage rise with size. Big trees add more carbon than mid-sized ones (Stephenson et al).,,https://www.nature.com/articles/nature12914,,,,,
Sterman et al.,Does replacing coal with wood lower CO2 emissions? Dynamic lifecycle analysis of wood bioenergy,"Sterman, John","Siegel, Lori",,2018,Environmental Research Letters,"Bioenergy is growing as nations aim to cut emissions, but its carbon neutrality is debated. Using a dynamic model, researchers found that substituting wood for coal in power generation initially increases CO2 emissions due to lower combustion efficiency and ""carbon debt."" Payback times range from 44–104 years, depending on forest type, and converting natural forests to plantations worsens CO2 impacts. Expanding wood bioenergy could raise atmospheric CO2 for a century, challenging the carbon-neutral claim. Dynamic models are essential to accurately assess biofuels’ climate impacts and avoid exacerbating climate change before benefits materialize.","Bioenergy cuts emissions, but using wood for coal first increases CO2 due to less energy. Payback takes years. Dynamic models help assess biofuel effects (Sterman et al).",,https://iopscience.iop.org/article/10.1088/1748-9326/aaa512/meta,,,,,
Stolton & Dudley,"Beyond the stripes: Save tigers, save so much more","Stolton, Sue","Dudley, Nigel",,2017,WWF Report,"This report emphasizes preserving tiger habitats, which support wild tiger populations and provide vital resources like freshwater and climate mitigation. Spanning diverse ecosystems—mangroves, forests, and snowy mountains—these areas reduce disaster impacts and sustain millions of people, highlighting their ecological and societal significance.","The report stresses protecting tiger habitats, and key resources like water and climate aid. These areas cut disaster risks and help millions (Stolton & Dudley).",,https://www.worldwildlife.org/publications/beyond-the-stripes-save-tigers-save-so-much-more,,,,,
G. Stone,Agricultural Dilemma: How Not to Feed the World,"Stone, Glen Davis",,,2022,Routledge,"This book explores three core agricultural systems: Malthusian (expansion-based), industrial (external-input-dependent), and labor-intensive intensification. It critiques misconceptions like the inevitability of land shortages and reliance on new technologies, offering case studies and histories from around the world. The book concludes with a compelling argument for viable alternatives to industrial agriculture that can meet global needs, while questioning why such options have been marginalized or overlooked.","Covered are three farming types: Malthusian, industrial, and labor-based. It debunks myths on land use and tech reliance, showing better global options (G. Stone).",,https://www.routledge.com/The-Agricultural-Dilemma-How-Not-to-Feed-the-World/Stone/p/book/9781032260457,,,,,
Strassburg et al.,Global priority areas for ecosystem restoration,"Strassburg, Bernardo
","Iribarrem, Alvaro ","Department of Geography and the Environment, Pontifical Catholic University",2020,Nature,"Ecosystem restoration is crucial for biodiversity and climate stability. Using a multicriteria approach, researchers identified priority areas for restoring 15% of converted lands, which could prevent 60% of extinctions and sequester 299 gigatonnes of CO2—14% of total emissions since the Industrial Revolution. Including diverse biomes and spatial optimization boosts cost-effectiveness, emphasizing the need for strategic planning to maximize restoration benefits.",Restoring 15% of lands in key areas can cut extinctions by 60% storing 299 GT CO2. Adding biomes and spatial planning makes efforts 13 times more effective (Strassburg et al).,,https://www.nature.com/articles/s41586-020-2784-9,,,,,
Strassburg et al.,"Strategic approaches to restoring ecosystems can triple conservation gains and halve costs
","Strassburg, Bernardo
","Beyer, Hawthorne ","Department of Geography and the Environment, Pontifical Catholic University",2019,Nature Ecology & Evolution,"Global restoration commitments cover 25% of arable land, addressing climate and biodiversity crises but risking food production and costs to farmers. A prioritization method applied to the Atlantic Forest hotspot boosted biodiversity conservation by 257%, sequestered 1B tonnes of CO2, and cut costs by $28B. This approach balances ecological and economic goals, offering significant global benefits if replicated elsewhere.","Restoring 25% of arable land aids climate and biodiversity. In the Atlantic Forest, it saved $28B, species, and stored 1B tonnes CO2 (Strassburg et al).",,https://www.nature.com/articles/s41559-018-0743-8,,,,,
Sun et al.,New high-resolution global topographic factor dataset calculated based on SRTM,"Sun, Yuwei ","Zhang, Hongming ","College of Information Engineering, Northwest A & F University",2024,Scientific Data,"Topography significantly impacts soil erosion, measured by the LS-factor in models like the Chinese Soil Loss Equation. A global 1-arcsec resolution LS-factor dataset (DS-LS-GS1) is introduced, using an improved method (LS-WPC) that avoids projection errors and enhances computational efficiency by 25.52%. Validated with <1% error and tested across 20 regions with R² values of 0.82–0.84, DS-LS-GS1 provides high-quality data for global soil erosion assessments.","Topography affects soil erosion via the LS-factor. A new 1-arcsec LS dataset (DS-LS-GS1) cuts errors and boosts speed by 25%, aiding global erosion studies (Sun et al).",,https://www.nature.com/articles/s41597-024-02917-w,,,,,
Sze et al.,Reduced deforestation and degradation in Indigenous Lands pan-tropically,"Sze, Jocelyn","Carrasco, L. Roman ","Ecology and Evolutionary Biology, School of Biosciences,The University of Sheffield",2021,Nature Sustainability,"Indigenous Lands (ILs) are crucial for global conservation, matching or exceeding the effectiveness of Protected Areas (PAs) in reducing deforestation and degradation across the tropics from 2010–2018. ILs avoided deforestation comparably to PAs, especially in Africa, and reduced degradation similarly. Conservation efforts must support Indigenous rights and recognize their contributions to forest protection.","Indigenous Lands (ILs) cut deforestation and degradation. In Africa, ILs avoid more deforestation. Conservation must back Indigenous rights and efforts (Sze et al).",,https://www.nature.com/articles/s41893-021-00815-2,,,,,
Sze et al.,Indigenous lands in protected areas have high forest integrity across the tropics,"Sze, Jocelyn","Childs, Dylan","Ecology and Evolutionary Biology, School of Biosciences,The University of Sheffield",2022,Current Biology,"Intact tropical forests are vital for conservation and are often influenced by long-term human activity. Indigenous lands, covering 25% of Earth and overlapping with a third of intact forests, reduce deforestation, degradation, and emissions. Protected-Indigenous areas show the highest forest integrity and lowest land-use intensity globally, outperforming Indigenous or protected lands alone. The synergy of state policies and Indigenous governance supports forest health. Effective conservation policies must recognize Indigenous contributions and support community-managed lands, aligning with the Global Biodiversity Framework.","Tropical forests on Indigenous lands, 25% of Earth, cut deforestation and emissions. Protected-Indigenous areas top forest health and need support (Sze et al).",,https://www.cell.com/current-biology/fulltext/S0960-9822(22)01540-8#secsectitle0035,,,,,
M. LePage,"Logging study reveals huge hidden emissions of the forestry industry

","LePage, Michael",,,2019,New Scientist,"The wood industry is a significant but overlooked source of carbon emissions, as revealed by a North Carolina study, likely reflecting global trends. Despite claims of sustainability through replanting, logging emissions are unaccounted for due to inadequate international rules favoring the industry. North Carolina cuts 80,000 hectares of trees annually for pellets, paper, and timber, with emissions ignored. Using USDA data, economist John Talberth estimates these emissions, highlighting the need for accurate accounting to address logging’s climate impact.","Logging drives uncounted emissions globally. North Carolina cuts 80,000 hectares yearly for wood products. Rules favoring the industry ignore its impact (M. LePage).",,https://www.newscientist.com/article/2215913-logging-study-reveals-huge-hidden-emissions-of-the-forestry-industry/,,,,,
Tallis et al.,Attainable global vision for conservation and human well-being,"Tallis, Heather","Hawthorne, Peter",The Nature Conservancy,2018,Frontiers in Ecology and the Environment,"A sustainable future where people and nature thrive is achievable but requires major changes in food and energy production. Using systems modeling, researchers show that meeting 2050’s projected food (54%) and energy (56%) demand can align with conservation goals, including protecting natural habitats (>50%), limiting warming to 1.6°C, ending overfishing, and reducing water and air pollution. This vision is feasible with current technology and consumption but demands transformative shifts in production methods and overcoming significant economic, social, and political barriers.",A thriving future for people and nature is possible by shifting food and energy production to meet 2050 needs while cutting emissions and saving habitats (Tallis et al).,,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/fee.1965,,,,,
Liang & Werner,Global mining footprint mapped from high-resolution satellite imagery,"Tang, Liang
","Werner, Tim","College of Earth Sciences, Chengdu University of Technology",2023,Communications Earth & Environment,"Mining has significant economic, environmental, and social impacts, yet its global footprint is poorly understood. Using high-resolution satellite imagery, researchers created a dataset of 74,548 polygons covering ~66,000 km² of mining features like pits, waste dumps, and processing sites. Unlike broader datasets, this fine-scale mapping excludes non-mining spaces between features, showing a relatively smaller global land use. The dataset, the largest of its kind, is freely available for studying mining impacts and includes spatial analyses revealing global mine distribution and environmental risks.","A satellite-based dataset maps 74,548 mining features (~66,000 km²), excluding non-mining spaces, aiding study of mining impacts, risks, and distribution (Liang & Werner).",,https://www.nature.com/articles/s43247-023-00805-6,,,,,
Tauli-Corpuz et al.,Cornered by PAs: Adopting rights-based approaches to enable cost-effective conservation and climate action,"Tauli-Corpuz, Vicky
","Alcorn, Janis",,2020,World Development,"Expanding protected areas (PAs) to curb biodiversity loss often harms Indigenous Peoples and local communities (IPLCs), violating commitments like UNDRIP and Aichi Target 11. IPLCs conserve nearly 2B hectares globally but face unrecognized efforts, rights violations, evictions, and livelihood loss due to PA policies and overlapping lands. Despite IPLCs’ investments in conservation, governance remains dominated by state-owned PAs, undermining conservation goals. Principles for grievance and reconciliation exist but are not applied, highlighting the need for governments and donors to support IPLC-led conservation to achieve global biodiversity targets equitably.","Expanding protected areas to curb biodiversity harms Indigenous people and locals, violating rights and lives. They conserve 2B hectares but lack support (Tauli-Corpuz et al).",,https://doi.org/10.1016/j.worlddev.2020.104923,,,,,
Taylor et al.,Healthy Soils to Cool the Planet: A Philanthropic Action Guide,"Taylor, Betsy",,,2019,Breakthrough Strategies and Solutions,"Transforming agricultural land use and restoring ecosystems could deliver over one-third of the needed climate mitigation to keep global warming below 2°C—and even 1.5°C with emerging practices like composting, silvopasture, and deep soil carbon storage. The guide outlines seven levers and five strategic initiatives for scalable impact on climate, food, water, and biodiversity. Immediate, action-driven investments grounded in farmers' realities are critical to avert irreversible climate risks. Demonstrating success in high-momentum regions can catalyze broader support. Ambitious, risk-taking philanthropy must align with the urgency, scale, and complexity of the challenge.","Land use shifts and soil solutions can cut emissions by 1/3; urgent, farmer-driven action and bold investment are vital to avert climate crisis (Taylor et al).",,https://forainitiative.org/wp-content/uploads/health-soils-to-cool-the-planet-Guide_Combined.pdf,,,,,
